,batch,ctype_ubcupdate,genotype_crct_x,genotype_crct_y,timepoint
0,7202,Astrocyte,418,WT,5wk
1,7202,Bergmann glia,354,WT,5wk
2,7202,Deep cerebellar nuclei,357,WT,5wk
3,7202,Endothelial cell,152,WT,5wk
4,7202,GABAergic interneuron 1,454,WT,5wk
5,7202,GABAergic interneuron 2,138,WT,5wk
6,7202,GABAergic interneuron 3,39,WT,5wk
7,7202,Granule cell,9005,WT,5wk
8,7202,Microglia,46,WT,5wk
9,7202,Oligodendrocyte,473,WT,5wk
10,7202,Oligodendrocyte progenitor cell,63,WT,5wk
11,7202,Pericyte,87,WT,5wk
12,7202,Purkinje cell,74,WT,5wk
13,7202,Unipolar brush cell,30,WT,5wk
14,72921,Astrocyte,307,WT,5wk
15,72921,Bergmann glia,338,WT,5wk
16,72921,Deep cerebellar nuclei,276,WT,5wk
17,72921,Endothelial cell,78,WT,5wk
18,72921,GABAergic interneuron 1,403,WT,5wk
19,72921,GABAergic interneuron 2,116,WT,5wk
20,72921,GABAergic interneuron 3,20,WT,5wk
21,72921,Granule cell,6863,WT,5wk
22,72921,Microglia,39,WT,5wk
23,72921,Oligodendrocyte,342,WT,5wk
24,72921,Oligodendrocyte progenitor cell,49,WT,5wk
25,72921,Pericyte,79,WT,5wk
26,72921,Purkinje cell,64,WT,5wk
27,72921,Unipolar brush cell,15,WT,5wk
28,72922,Astrocyte,276,WT,5wk
29,72922,Bergmann glia,306,WT,5wk
30,72922,Deep cerebellar nuclei,266,WT,5wk
31,72922,Endothelial cell,81,WT,5wk
32,72922,GABAergic interneuron 1,452,WT,5wk
33,72922,GABAergic interneuron 2,104,WT,5wk
34,72922,GABAergic interneuron 3,29,WT,5wk
35,72922,Granule cell,6554,WT,5wk
36,72922,Microglia,36,WT,5wk
37,72922,Oligodendrocyte,342,WT,5wk
38,72922,Oligodendrocyte progenitor cell,50,WT,5wk
39,72922,Pericyte,75,WT,5wk
40,72922,Purkinje cell,78,WT,5wk
41,72922,Unipolar brush cell,27,WT,5wk
42,7294,Astrocyte,201,SCA1,5wk
43,7294,Bergmann glia,224,SCA1,5wk
44,7294,Deep cerebellar nuclei,54,SCA1,5wk
45,7294,Endothelial cell,71,SCA1,5wk
46,7294,GABAergic interneuron 1,389,SCA1,5wk
47,7294,GABAergic interneuron 2,98,SCA1,5wk
48,7294,GABAergic interneuron 3,24,SCA1,5wk
49,7294,Granule cell,4742,SCA1,5wk
50,7294,Microglia,17,SCA1,5wk
51,7294,Oligodendrocyte,234,SCA1,5wk
52,7294,Oligodendrocyte progenitor cell,25,SCA1,5wk
53,7294,Pericyte,83,SCA1,5wk
54,7294,Purkinje cell,69,SCA1,5wk
55,7294,Unipolar brush cell,8,SCA1,5wk
56,72931,Astrocyte,242,SCA1,5wk
57,72931,Bergmann glia,319,SCA1,5wk
58,72931,Deep cerebellar nuclei,22,SCA1,5wk
59,72931,Endothelial cell,93,SCA1,5wk
60,72931,GABAergic interneuron 1,354,SCA1,5wk
61,72931,GABAergic interneuron 2,73,SCA1,5wk
62,72931,GABAergic interneuron 3,28,SCA1,5wk
63,72931,Granule cell,5200,SCA1,5wk
64,72931,Microglia,22,SCA1,5wk
65,72931,Oligodendrocyte,174,SCA1,5wk
66,72931,Oligodendrocyte progenitor cell,18,SCA1,5wk
67,72931,Pericyte,56,SCA1,5wk
68,72931,Purkinje cell,61,SCA1,5wk
69,72931,Unipolar brush cell,18,SCA1,5wk
70,72932,Astrocyte,246,SCA1,5wk
71,72932,Bergmann glia,341,SCA1,5wk
72,72932,Deep cerebellar nuclei,21,SCA1,5wk
73,72932,Endothelial cell,79,SCA1,5wk
74,72932,GABAergic interneuron 1,343,SCA1,5wk
75,72932,GABAergic interneuron 2,74,SCA1,5wk
76,72932,GABAergic interneuron 3,27,SCA1,5wk
77,72932,Granule cell,5282,SCA1,5wk
78,72932,Microglia,14,SCA1,5wk
79,72932,Oligodendrocyte,184,SCA1,5wk
80,72932,Oligodendrocyte progenitor cell,22,SCA1,5wk
81,72932,Pericyte,78,SCA1,5wk
82,72932,Purkinje cell,72,SCA1,5wk
83,72932,Unipolar brush cell,27,SCA1,5wk
84,22018,Astrocyte,147,WT,12wk
85,22018,Bergmann glia,190,WT,12wk
86,22018,Deep cerebellar nuclei,42,WT,12wk
87,22018,Endothelial cell,43,WT,12wk
88,22018,GABAergic interneuron 1,269,WT,12wk
89,22018,GABAergic interneuron 2,89,WT,12wk
90,22018,GABAergic interneuron 3,19,WT,12wk
91,22018,Granule cell,6578,WT,12wk
92,22018,Microglia,23,WT,12wk
93,22018,Oligodendrocyte,165,WT,12wk
94,22018,Oligodendrocyte progenitor cell,24,WT,12wk
95,22018,Pericyte,24,WT,12wk
96,22018,Purkinje cell,49,WT,12wk
97,22018,Unipolar brush cell,14,WT,12wk
98,2061,Astrocyte,76,WT,12wk
99,2061,Bergmann glia,114,WT,12wk
100,2061,Deep cerebellar nuclei,5,WT,12wk
101,2061,Endothelial cell,24,WT,12wk
102,2061,GABAergic interneuron 1,168,WT,12wk
103,2061,GABAergic interneuron 2,58,WT,12wk
104,2061,GABAergic interneuron 3,10,WT,12wk
105,2061,Granule cell,4023,WT,12wk
106,2061,Microglia,10,WT,12wk
107,2061,Oligodendrocyte,88,WT,12wk
108,2061,Oligodendrocyte progenitor cell,8,WT,12wk
109,2061,Pericyte,17,WT,12wk
110,2061,Purkinje cell,24,WT,12wk
111,2061,Unipolar brush cell,10,WT,12wk
112,2062,Astrocyte,99,WT,12wk
113,2062,Bergmann glia,132,WT,12wk
114,2062,Deep cerebellar nuclei,36,WT,12wk
115,2062,Endothelial cell,29,WT,12wk
116,2062,GABAergic interneuron 1,234,WT,12wk
117,2062,GABAergic interneuron 2,66,WT,12wk
118,2062,GABAergic interneuron 3,19,WT,12wk
119,2062,Granule cell,5696,WT,12wk
120,2062,Microglia,18,WT,12wk
121,2062,Oligodendrocyte,168,WT,12wk
122,2062,Oligodendrocyte progenitor cell,18,WT,12wk
123,2062,Pericyte,27,WT,12wk
124,2062,Purkinje cell,39,WT,12wk
125,2062,Unipolar brush cell,18,WT,12wk
126,22019,Astrocyte,114,SCA1,12wk
127,22019,Bergmann glia,159,SCA1,12wk
128,22019,Deep cerebellar nuclei,14,SCA1,12wk
129,22019,Endothelial cell,49,SCA1,12wk
130,22019,GABAergic interneuron 1,247,SCA1,12wk
131,22019,GABAergic interneuron 2,68,SCA1,12wk
132,22019,GABAergic interneuron 3,11,SCA1,12wk
133,22019,Granule cell,5088,SCA1,12wk
134,22019,Microglia,19,SCA1,12wk
135,22019,Oligodendrocyte,126,SCA1,12wk
136,22019,Oligodendrocyte progenitor cell,14,SCA1,12wk
137,22019,Pericyte,27,SCA1,12wk
138,22019,Purkinje cell,35,SCA1,12wk
139,22019,Unipolar brush cell,15,SCA1,12wk
140,2063,Astrocyte,94,SCA1,12wk
141,2063,Bergmann glia,146,SCA1,12wk
142,2063,Deep cerebellar nuclei,15,SCA1,12wk
143,2063,Endothelial cell,44,SCA1,12wk
144,2063,GABAergic interneuron 1,216,SCA1,12wk
145,2063,GABAergic interneuron 2,63,SCA1,12wk
146,2063,GABAergic interneuron 3,12,SCA1,12wk
147,2063,Granule cell,4456,SCA1,12wk
148,2063,Microglia,12,SCA1,12wk
149,2063,Oligodendrocyte,119,SCA1,12wk
150,2063,Oligodendrocyte progenitor cell,11,SCA1,12wk
151,2063,Pericyte,18,SCA1,12wk
152,2063,Purkinje cell,21,SCA1,12wk
153,2063,Unipolar brush cell,15,SCA1,12wk
154,2065,Astrocyte,118,SCA1,12wk
155,2065,Bergmann glia,200,SCA1,12wk
156,2065,Deep cerebellar nuclei,11,SCA1,12wk
157,2065,Endothelial cell,43,SCA1,12wk
158,2065,GABAergic interneuron 1,312,SCA1,12wk
159,2065,GABAergic interneuron 2,98,SCA1,12wk
160,2065,GABAergic interneuron 3,15,SCA1,12wk
161,2065,Granule cell,6771,SCA1,12wk
162,2065,Microglia,20,SCA1,12wk
163,2065,Oligodendrocyte,195,SCA1,12wk
164,2065,Oligodendrocyte progenitor cell,20,SCA1,12wk
165,2065,Pericyte,26,SCA1,12wk
166,2065,Purkinje cell,35,SCA1,12wk
167,2065,Unipolar brush cell,15,SCA1,12wk
168,6569,Astrocyte,471,WT,18wk
169,6569,Bergmann glia,639,WT,18wk
170,6569,Deep cerebellar nuclei,147,WT,18wk
